algorithm,drop_intermediate,file_size_kb,fingerprint,strategy,target,train_inference_time_ns,train_mae,train_pearson,train_r2,train_rmse,test_inference_time_ns,test_mae,test_pearson,test_r2,test_rmse,cv_best_mean_score,cv_split_0,cv_split_1,cv_split_2,estimator__C,estimator__algorithm,estimator__coef0,estimator__degree,estimator__early_stopping,estimator__gamma,estimator__l2_regularization,estimator__leaf_size,estimator__learning_rate,estimator__max_depth,estimator__max_features,estimator__max_iter,estimator__min_samples_leaf,estimator__min_samples_split,estimator__n_estimators,estimator__n_iter_no_change,estimator__n_jobs,estimator__n_neighbors,estimator__oob_score,estimator__p,estimator__random_state,estimator__shrinking,estimator__warm_start,estimator__weights,selectpercentile__percentile,variancethreshold__threshold
rf,False,25444.6796875,SubstructureCount,strict,homosapiens_cyp17a1,89783545,0.35445972403304493,0.9020899691971844,0.7952959479276422,0.5025829284185268,61103191,0.36795649585155893,0.9278582854640262,0.8165868979896953,0.4742644948349183,0.538459047062957,0.48210860364222274,0.5625893926605028,0.5706791448861456,,,,,,,,,,20,sqrt,,1.0,4.0,1000.0,,,,True,,22.0,,True,,90,0.08999999999999998
hgb,False,1675.373046875,SubstructureCount,strict,homosapiens_cyp17a1,17370211,0.4207754898692609,0.8551613570301483,0.7224976989189209,0.5851642791330947,11106793,0.4403646387209796,0.877379876745679,0.7482051324504095,0.5556852533293021,0.5516567546721575,0.4728094067312346,0.5899791999947188,0.5921816572905192,,,,,True,,0.0,,0.01,50,,1000.0,16.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
svm,False,753.83984375,SubstructureCount,strict,homosapiens_cyp17a1,16646344,0.3632714611614597,0.8506556896404347,0.7214936384335915,0.586221945730148,7210202,0.40964593927400733,0.8677586146801829,0.7304026571103335,0.574993901851985,0.500184554687693,0.3955613468231035,0.6120820337967083,0.49291028344326693,10.0,,0.0,2.0,,0.01,,,,,,,,,,,,,,,,True,,,90,0.08999999999999998
dt,False,193.138671875,SubstructureCount,strict,homosapiens_cyp17a1,2532895,0.5011997012465448,0.7753064407921066,0.6006393857836856,0.7019838626216356,2352651,0.5050915988751244,0.7832983535326705,0.606367519540711,0.6947857434843061,0.4115527418718889,0.3145547242546911,0.49064826385858096,0.42945523750239445,,,,,,,,,,30,log2,,4.0,3.0,,,,,,,22.0,,,,90,0.08999999999999998
knn,False,562.7490234375,SubstructureCount,strict,homosapiens_cyp17a1,36029024,0.477171206225681,0.8039310215100637,0.6356989759645213,0.6704628345041669,24266798,0.45155029585798834,0.8616919619612914,0.7116755302483264,0.5946291370685494,0.4710086743073725,0.3822933828859866,0.5284039707471044,0.5023286692890265,,brute,,,,,,10.0,,,,,,,,,-1.0,5.0,,1.0,,,,uniform,90,0.08999999999999998
rf,False,16665.97265625,Substructure,random,homosapiens_cyp17a1,83996090,0.42961002083015204,0.8547247421845021,0.7296333205583565,0.5899687866135075,54572816,0.45405807240105356,0.8342341566610599,0.6934037742084809,0.607771563664919,0.5721207796625267,0.5696484693998297,0.5481279981840528,0.5985858714036978,,,,,,,,,,None,log2,,1.0,2.0,1000.0,,,,True,,22.0,,True,,80,0.08999999999999998
hgb,False,2017.060546875,Substructure,random,homosapiens_cyp17a1,14566012,0.45580251230864327,0.8372207051252557,0.700402627434195,0.6210426862692232,9076759,0.47629327905680535,0.8170349300793603,0.6664449511452162,0.6339291664487415,0.5412270463128624,0.5464114309468358,0.5379293166256254,0.5393403913661262,,,,,True,,0.1,,0.01,50,,99999999.0,8.0,,,100.0,,,,,22.0,,True,,90,0.08999999999999998
svm,False,705.625,Substructure,random,homosapiens_cyp17a1,13251491,0.4241527377579132,0.8292332502282702,0.6869058797488351,0.6348774582486721,4977339,0.44228050326578094,0.7745012687481587,0.5978352780047844,0.696079686527216,0.5385209362296025,0.5173958388969947,0.5338407318814158,0.5643262379103969,1.0,,0.1,2.0,,1.0,,,,,,,,,,,,,,,,False,,,90,0.08999999999999998
dt,False,201.8935546875,Substructure,random,homosapiens_cyp17a1,2404917,0.4254103521122753,0.8451059399289956,0.7137865700663717,0.60701225003603,2426008,0.4451543650996206,0.826784017300726,0.6833837036410431,0.6176232075773767,0.5152510909529249,0.5366859849188552,0.5106370686430028,0.49843021929691667,,,,,,,,,,None,log2,,1.0,2.0,,,,,,,22.0,,,,80,0.08999999999999998
knn,False,585.21875,Substructure,random,homosapiens_cyp17a1,40543673,0.42138568320161723,0.8371704572700853,0.6992883736791887,0.6221964963264651,21099077,0.43365804884314885,0.8347533797167245,0.694935658446392,0.6062513206278076,0.5378513066320078,0.524694263762594,0.5431283813276278,0.5457312748058014,,ball_tree,,,,,,20.0,,,,,,,,,-1.0,9.0,,1.0,,,,distance,80,0.08999999999999998
rf,False,18765.8818359375,Substructure,stratified,homosapiens_cyp17a1,87392994,0.41866129639417365,0.857009859972528,0.7344446210333009,0.5695228333844792,56037296,0.4795888173979722,0.8558148417479278,0.7182911230750595,0.6368558142936988,0.5627104870156525,0.541673761316686,0.5860779706453361,0.5603797290849355,,,,,,,,,,30,log2,,1.0,2.0,1000.0,,,,True,,22.0,,True,,90,0.08999999999999998
hgb,False,2714.509765625,Substructure,stratified,homosapiens_cyp17a1,18635470,0.4224848519490191,0.8549610525373034,0.7308221265397359,0.5733941636334229,71474744,0.4891992615772371,0.8323325046410824,0.6847137383978057,0.6737416185523759,0.5595324961006042,0.5920544725908672,0.5610892611145384,0.5254537545964069,,,,,True,,0.1,,0.01,10,,1000.0,8.0,,,100.0,,,,,22.0,,True,,100,0.08999999999999998
svm,False,703.58203125,Substructure,stratified,homosapiens_cyp17a1,13102966,0.38849399992332523,0.850085762322291,0.7218417893227664,0.5828805063723022,5204137,0.4643625660517284,0.834976835322872,0.6745961646535088,0.6844664818751566,0.5173159970776163,0.523776391676819,0.5646325011596589,0.463539098396371,200.0,,0.1,4.0,,1.0,,,,,,,,,,,,,,,,False,,,90,0.08999999999999998
dt,False,200.7578125,Substructure,stratified,homosapiens_cyp17a1,2304941,0.4252666066543797,0.8316109099526156,0.6871074547179339,0.6182031266868139,2307486,0.4621154325390193,0.8541149133612141,0.7202903098851126,0.6345920222215501,0.5069324612595377,0.5060986635404023,0.5228818174021466,0.4918169028360643,,,,,,,,,,10,None,,1.0,2.0,,,,,,,22.0,,,,90,0.08999999999999998
knn,False,507.0400390625,Substructure,stratified,homosapiens_cyp17a1,38832669,0.3978042687890249,0.8562731458318328,0.7303221437656434,0.5739264402987538,22764801,0.4645717578474258,0.8142589663886841,0.6528106976026944,0.7070074979908956,0.5167951802777901,0.5321004123688859,0.5257615767581301,0.49252355170635453,,auto,,,,,,40.0,,,,,,,,,-1.0,9.0,,1.0,,,,distance,90,0.08999999999999998
rf,False,19835.0400390625,Substructure,strict,homosapiens_cyp17a1,83341978,0.4347475278955741,0.845463588556108,0.7084625847052861,0.5997795614508645,58899134,0.5187002613558546,0.8245308227075376,0.6426403960015643,0.6620002662339832,0.5254025125347122,0.49967555764623395,0.5668166310119775,0.5097153489459251,,,,,,,,,,20,sqrt,,1.0,4.0,1000.0,,,,True,,22.0,,True,,100,0.08999999999999998
hgb,False,2482.5732421875,Substructure,strict,homosapiens_cyp17a1,45291568,0.49201456430317464,0.7994949375240995,0.6369769695397041,0.6692857859518049,16076745,0.5557243887436557,0.8079537662507987,0.6235171094497458,0.6794821575471106,0.5020886901926979,0.4882668412843628,0.5088780269110459,0.509121202382685,,,,,True,,0.01,,0.01,None,,1000.0,16.0,,,100.0,,,,,22.0,,True,,100,0.08999999999999998
svm,False,700.18359375,Substructure,strict,homosapiens_cyp17a1,12758525,0.4810156493322737,0.7735130902396871,0.5976431293790656,0.7046123056668666,5597597,0.5310838822034003,0.7859178035213529,0.5739535222248036,0.7228262644755763,0.4878386162922482,0.4616339160991627,0.5219748296916806,0.47990710308590123,1.0,,0.5,3.0,,1.0,,,,,,,,,,,,,,,,False,,,80,0.08999999999999998
